[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 3(String)
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 1(String)
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:49] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 4(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 3(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 1(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 1(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 1(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 3(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 3(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 3(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 2(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 3(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 3(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 5(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 4(String)
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 1
[DEBUG] [2019-07-17 10:08:50] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
